0.9844	0.9898	0.9835	0.9787	0.9958	0.9970
0,9846	0,9913	0.9820	0.9747	0,9964	0.9969
0.9862	0.9946	0.9814	0.9720	0.9960	0.9967
0.9859	0.9954	0.9805	0.9693	0.9964	0.9968
0.9851	0.9938	0.9794	0.9667	0.9961	0.9970
0.9848	0.9937	0.9789	0.9650	0.9961	0.9975
0.9848	0.9945	0.9785	0.9636	0.9959	0.9973
0.9938	0.9942	0.9976	0.9910	0.9955	0.9964
0.9948	0.9952	0.9974	0.9894	0.9962	0.9967
0,9955	0.9936	0.9957	0.9887	0.9957	0.9963
0.9971	0.9958	0.9946	0.9876	0.9956	0.9969
0.9974	0.9958	0.9937	0.9867	0.9959	0.9972
0.9977	0.9954	0,9931	0.9859	0.9960	0.9971
0.9970	0.9951	0.9928	0.9845	0.9963	0.9969
